week,post_date,platform,genre,issue_no,title,url,views_48h,views_total,completion_rate,avg_watch_sec,saves,shares,comments,likes,profile_visits,follows_gained,hypothesis,result_note
2026-W32,2026-08-06,youtube_shorts,showa,,本田宗一郎「じゃあ、俺も弁当にする」松阪視察の食事事件 #Shorts,https://www.youtube.com/shorts/zy_G6Nuba5c,,1480,,,,,0,2,,,,
2026-W32,2026-08-06,youtube_shorts,trivia,,トラのオレンジは人間だけに見えている #Shorts,https://www.youtube.com/shorts/XnLKe775pV4,,1596,,,,,0,3,,,,
2026-W32,2026-08-06,youtube_shorts,meme,,父になるとゲーム時間が消える話 #Shorts,https://www.youtube.com/shorts/SlEZd36yg0A,,1176,,,,,0,6,,,,
2026-W32,2026-08-07,youtube_shorts,heisei,,たまごっち、1年で1000万個売れた話 #Shorts,https://www.youtube.com/shorts/1QAev0gHlT8,,1182,,,,,0,11,,,,
2026-W32,2026-08-07,youtube_shorts,heisei,,1990年生まれ位が懐かしい平成の絶滅品6選 #Shorts,https://www.youtube.com/shorts/YaXz0se8DCQ,,1124,,,,,0,4,,,,
2026-W32,2026-08-07,youtube_shorts,meme,,育児でゲーム時間が消えた父、マリカーに丸め込まれる #Shorts,https://www.youtube.com/shorts/AAxeUnxawI8,,1247,,,,,0,4,,,,
2026-W32,2026-08-07,youtube_shorts,meme,,嫁にスカートを履かせたい男、レス民に完全論破される #Shorts,https://www.youtube.com/shorts/XnNasUS1mHc,,217,,,,,0,0,,,,
2026-W32,2026-08-07,youtube_shorts,trivia,,トラのオレンジ、シカには緑 #Shorts,https://www.youtube.com/shorts/jnPDg60VCQ0,,2,,,,,0,0,,,,
2026-W32,2026-08-07,youtube_shorts,trivia,,虎のオレンジ、鹿には緑に見えている #Shorts,https://www.youtube.com/shorts/tIWfgSf7qgU,,2,,,,,0,0,,,,
2026-W32,2026-08-07,youtube_shorts,trivia,,トラのオレンジは鹿には緑 #Shorts,https://www.youtube.com/shorts/_pJ2ACdunqk,,1,,,,,0,0,,,,
2026-W32,2026-08-07,youtube_shorts,showa,,本田宗一郎の工具と灰皿・昭和の指導 #Shorts,https://www.youtube.com/shorts/4QQxTTo85N0,,1445,,,,,0,2,,,,
2026-W32,2026-08-07,youtube_shorts,showa,,本田宗一郎、褒章式に白ツナギで行こうとした #Shorts,https://www.youtube.com/shorts/B85JrXKLjRw,,1606,,,,,0,7,,,,
2026-W32,2026-08-09,youtube_shorts,heisei,,1999年に世界が終わると信じていた平成の教室 #Shorts,https://www.youtube.com/shorts/EsyaGt-cfaQ,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,heisei,,だんご3兄弟が1999年の年間1位という事件 #Shorts,https://www.youtube.com/shorts/cZNSiyIVcYI,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,meme,,22で結婚して後悔スレ、嫁スペック晒して惚気とバレる #Shorts,https://www.youtube.com/shorts/5cfF2PTmZvw,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,meme,,後輩に舐められる舗装職人、なぜか工法で解決される #Shorts,https://www.youtube.com/shorts/czKA6dhHL1g,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,meme,,一重論争に覇王が乱入して論点消滅 #Shorts,https://www.youtube.com/shorts/OiP3jZAtwB0,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,showa,,土光敏夫のメザシ晩飯｜1982年NHK放送の衝撃 #Shorts,https://www.youtube.com/shorts/1lJXMU1jTLs,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,showa,,松下幸之助 解雇名簿60人「一人も解雇せん」 #Shorts,https://www.youtube.com/shorts/cJyRagfV-ho,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,meme,,光速が遅すぎると宇宙に苦情を入れる会 #Shorts,https://www.youtube.com/shorts/QSzf6gL7JLE,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,showa,,熱海会談 社長が三日間吊し上げられた日（1964年） #Shorts,https://www.youtube.com/shorts/WqrkWOk6s6k,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,meme,,初心者のケーキ作り、謎のホットケーキマンに乗っ取られる #Shorts,https://www.youtube.com/shorts/YnUYioevFLY,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,showa,,日章丸事件｜船1隻でイランへ向かった昭和の会社 #Shorts,https://www.youtube.com/shorts/X_ln57HPDOo,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,meme,,弁当屋の店員を叩くはずが誤字で自滅 #Shorts,https://www.youtube.com/shorts/5h3XyK6An8A,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,meme,,結婚しろ論争が脱線し「計画外」の男が降臨する #Shorts,https://www.youtube.com/shorts/Z3e1xk85J68,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,heisei,,11万画素を「生涯11万回」だと思ってた同僚 #Shorts,https://www.youtube.com/shorts/GEuNFM2vzvI,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,heisei,,二千円札、なんで使えなかったのか問題 #Shorts,https://www.youtube.com/shorts/tk9ZEJAnN3c,0,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,meme,,指示を文字どおり実行した新人バイトの初日 #Shorts,https://www.youtube.com/shorts/RyTsDbmGwEs,,0,,,,,0,0,,,,
2026-W32,2026-08-09,youtube_shorts,showa,,日章丸事件・1953年イラン石油積取り寸劇 #Shorts,https://www.youtube.com/shorts/4jzrhLW7Hmo,,0,,,,,0,0,,,,
