video_id,channel,status,updated,url,note
girls-001,girls,rendered,2026-08-02,,旧方式（LLM創作）。本人評価によりお蔵入り・投稿しない（#92）
girls-002,girls,rendered,2026-08-02,,旧方式（LLM創作）。本人評価によりお蔵入り・投稿しない（#92）
girls-003,girls,rendered,2026-08-02,,旧方式（LLM創作）。本人評価によりお蔵入り・投稿しない（#92）
girls-004,girls,rendered,2026-08-02,,旧方式（LLM創作）。本人評価によりお蔵入り・投稿しない（#92）
biz-001,biz,draft,2026-07-30,,一次情報の記入待ち（#43）
biz-002,biz,draft,2026-07-30,,一次情報の記入待ち（#43）
biz-003,biz,draft,2026-07-30,,一次情報の記入待ち（#43）
biz-004,biz,draft,2026-07-30,,一次情報の記入待ち（#43）
meme-001,meme,rendered,2026-08-02,,旧方式（LLM創作）。本人評価によりお蔵入り・投稿しない（#92）
meme-002,meme,rendered,2026-08-02,,旧方式（LLM創作）。本人評価によりお蔵入り・投稿しない（#92）
meme-003,meme,rendered,2026-08-02,,旧方式（LLM創作）。本人評価によりお蔵入り・投稿しない（#92）
meme-004,meme,rendered,2026-08-02,,旧方式（LLM創作）。本人評価によりお蔵入り・投稿しない（#92）
girls-005,girls,rendered,2026-08-02,,v6でgirls廃止のためお蔵入り・投稿しない（#102）
girls-006,girls,rendered,2026-08-02,,v6でgirls廃止のためお蔵入り・投稿しない（#102）
meme-005,meme,rendered,2026-08-02,,v5引用型・底辺Vtuberスレ（#92）本人レビュー待ち
meme-006,meme,rendered,2026-08-02,,v5引用型・70歳おん爺スレ（#92）本人レビュー待ち
meme-007,meme,rendered,2026-08-02,,v6・元警備員スレ（#105）本人レビュー待ち
trivia-001,trivia,rendered,2026-08-02,,v6・トラのオレンジは獲物には緑（#105）裏取り済・本人レビュー待ち
f1-001,f1,rendered,2026-08-02,,v6.1でF1廃止のためお蔵入り・投稿しない（#119）
heisei-001,heisei,rendered,2026-08-02,,v6・ポケベル120万→1500人（#105）裏取り済・本人レビュー待ち
meme-008,meme,rendered,2026-08-02,,v6.1・新型（26秒/パワーワード/煽りタイトル）本人レビュー待ち
heisei-002,heisei,rendered,2026-08-02,,v6.1・平成6選リスト形式（#123）本人レビュー待ち
meme-009,meme,rendered,2026-08-03,,v6.1・掛け合い改善版（#127）本人レビュー待ち
heisei-003,heisei,rendered,2026-08-03,,v6.1・平成6選/掛け合い改善版（#127）本人レビュー待ち
trivia-003,trivia,rendered,2026-08-03,,v6.1・意見のある会話版（#129）本人レビュー待ち
meme-010,meme,rendered,2026-08-03,,v6.1・意見のある会話版（#129）本人レビュー待ち
heisei-004,heisei,rendered,2026-08-03,,v6.1・意見のある会話版（#129）本人レビュー待ち
meme-011,meme,rendered,2026-08-03,,v6.1・掛け合い往復版（#131）本人レビュー待ち
trivia-004,trivia,measuring,2026-08-09,https://youtube.com/shorts/XnLKe775pV4,v6.1・掛け合い往復版（#131）本人レビュー待ち
heisei-005,heisei,rendered,2026-08-03,,v6.1・掛け合い往復版（#131）本人レビュー待ち
meme-012,meme,rendered,2026-08-05,,v7・寸劇版（5人の声・#134）本人レビュー待ち
heisei-006,heisei,posted,2026-08-06,https://youtube.com/shorts/9mSZEk87-WM,v7・感情設計版（#134）本人レビュー待ち
showa-001,showa,rendered,2026-08-05,,v7・昭和熱血（本田宗一郎/灰皿）#135 本人レビュー待ち
meme-013,meme,rendered,2026-08-05,,v8・話者アイコン版（cast4人・#140）本人レビュー待ち
meme-014,meme,rendered,2026-08-05,,v9・パワーワード特大版（#142）本人レビュー待ち
meme-016,meme,measuring,2026-08-09,https://youtube.com/shorts/SlEZd36yg0A,v10・割り込み/長台詞版（#143）本人レビュー待ち
showa-003,showa,measuring,2026-08-09,https://youtube.com/shorts/zy_G6Nuba5c,v10・寸劇/割り込み版（#150）本人レビュー待ち
meme-015,meme,measuring,2026-08-09,https://youtube.com/shorts/AAxeUnxawI8,v11・ロンロン型（#166）meme-016と同スレのA/B比較用・本人レビュー待ち
trivia-005,trivia,measuring,2026-08-09,https://youtube.com/shorts/_pJ2ACdunqk,v11・ロンロン型（#166）trivia-004と同ネタのA/B比較用・本人レビュー待ち
heisei-007,heisei,rendered,2026-08-06,,v11・ロンロン型の初回生成。字数超過（109秒）のためお蔵入り（#166）
heisei-008,heisei,measuring,2026-08-09,https://youtube.com/shorts/YaXz0se8DCQ,v11・ロンロン型6選（#166）99秒。尺の設計矛盾は#152で扱う・本人レビュー待ち
showa-002,showa,measuring,2026-08-09,https://youtube.com/shorts/B85JrXKLjRw,v11・金太郎/半沢型（#167）ツナギ褒章式・本人レビュー待ち
trivia-006,trivia,measuring,2026-08-09,https://youtube.com/shorts/tIWfgSf7qgU,v12・新キャスト検証（#178）つむぎ/しし/はう・本人レビュー待ち
trivia-007,trivia,measuring,2026-08-09,https://youtube.com/shorts/jnPDg60VCQ0,v13・新キャスト+AIアイコン+ズーム修正の検証（#177-179）本人レビュー待ち
heisei-009,heisei,measuring,2026-08-09,https://youtube.com/shorts/1QAev0gHlT8,v13・新キャスト+AIアイコン+ズーム修正の検証（#177-179）尺86秒やや長・本人レビュー待ち
meme-017,meme,measuring,2026-08-09,https://youtube.com/shorts/XnNasUS1mHc,v13・AIアイコン+ズーム修正の検証（#177-179）本人レビュー待ち
showa-004,showa,measuring,2026-08-09,https://youtube.com/shorts/4QQxTTo85N0,v13・熱血アイコン+ズーム修正の検証（#177-179）本人レビュー待ち
meme-018,meme,posted,2026-08-09,https://youtube.com/shorts/5cfF2PTmZvw,新演出で作り直し・2026-08-11T14:00:00Z公開予約（#208）
meme-019,meme,posted,2026-08-09,https://youtube.com/shorts/czKA6dhHL1g,新演出で作り直し・2026-08-10T14:00:00Z公開予約（#208）
meme-020,meme,posted,2026-08-09,https://youtube.com/shorts/OiP3jZAtwB0,新演出で作り直し・2026-08-11T14:00:00Z公開予約（#208）
heisei-010,heisei,posted,2026-08-09,https://youtube.com/shorts/EsyaGt-cfaQ,新演出で作り直し・2026-08-10T14:00:00Z公開予約（#208）
heisei-011,heisei,posted,2026-08-09,https://youtube.com/shorts/cZNSiyIVcYI,新演出で作り直し・2026-08-11T14:00:00Z公開予約（#208）
showa-005,showa,posted,2026-08-09,https://youtube.com/shorts/1lJXMU1jTLs,新演出で作り直し・2026-08-10T14:00:00Z公開予約（#208）
showa-006,showa,posted,2026-08-09,https://youtube.com/shorts/cJyRagfV-ho,新演出で作り直し・2026-08-11T14:00:00Z公開予約（#208）
meme-023,meme,posted,2026-08-09,https://youtube.com/shorts/5h3XyK6An8A,v14・ロンロン型強制＋声の演出＋適性スコア選定（#212-214）本人レビュー待ち
meme-024,meme,posted,2026-08-09,https://youtube.com/shorts/Z3e1xk85J68,v14・ロンロン型強制＋声の演出＋適性スコア選定（#212-214）本人レビュー待ち
heisei-012,heisei,posted,2026-08-09,https://youtube.com/shorts/GEuNFM2vzvI,v14・ロンロン型で作り直し（#212-213）本人レビュー待ち。旧版 ZnUf7T7w7xk は差し替え済み
heisei-013,heisei,posted,2026-08-09,https://youtube.com/shorts/tk9ZEJAnN3c,v14・ロンロン型で作り直し（#212-213）本人レビュー待ち。旧版 AYepKO0h8zk は差し替え済み
showa-007,showa,posted,2026-08-09,https://youtube.com/shorts/WqrkWOk6s6k,旧演出（8/9朝の自動実行）。showaは別路線のため作り直し保留・本人レビュー待ち
showa-008,showa,posted,2026-08-09,https://youtube.com/shorts/4jzrhLW7Hmo,v14・尺を43〜55秒の実測レンジに合わせて作り直し（#152）51.7秒。旧版 X_ln57HPDOo は公開しない
meme-021,meme,posted,2026-08-09,https://youtube.com/shorts/QSzf6gL7JLE,スレが新基準で不合格（18点）。meme-023 に差し替え・公開しない
meme-022,meme,posted,2026-08-09,https://youtube.com/shorts/YnUYioevFLY,スレが新基準で不合格（8点）。meme-024 に差し替え・公開しない
meme-025,meme,posted,2026-08-09,https://youtube.com/shorts/RyTsDbmGwEs,v14・定番ミーム型（#205）新入社員のliteral実行。本人レビュー待ち
